hrs	 time	 fatigue
12.4375	 20.3587	 3.60938
12.5	 20.3434	 3.625
12.5625	 20.3281	 3.64062
12.625	 20.3128	 3.65625
12.6875	 20.2975	 3.67188
12.75	 20.2823	 3.6875
12.8125	 20.2672	 3.70312
12.875	 20.252	 3.71875
12.9375	 20.2369	 3.73438
13	 20.2219	 3.75
13.0625	 20.2068	 3.76562
13.125	 20.1918	 3.78125
13.1875	 20.1768	 3.79688
13.25	 20.1619	 3.8125
13.3125	 20.147	 3.82812
13.375	 20.1321	 3.84375
13.4375	 20.1173	 3.85938
13.5	 20.1024	 3.875
13.5625	 20.0877	 3.89062
13.625	 20.0729	 3.90625
13.6875	 20.0582	 3.92188
13.75	 20.0435	 3.9375
13.8125	 20.0288	 3.95312
13.875	 20.0141	 3.96875
13.9375	 19.9995	 3.98438
14	 19.9849	 4
14.0625	 20.0047	 3.98438
14.125	 20.0246	 3.96875
14.1875	 20.0445	 3.95312
14.25	 20.0645	 3.9375
14.3125	 20.0846	 3.92188
14.375	 20.1047	 3.90625
14.4375	 20.1248	 3.89062
14.5	 20.1451	 3.875
14.5625	 20.1653	 3.85938
14.625	 20.1857	 3.84375
14.6875	 20.2061	 3.82812
14.75	 20.2266	 3.8125
14.8125	 20.2471	 3.79688
14.875	 20.2677	 3.78125
14.9375	 20.2884	 3.76562
15	 20.3092	 3.75
15.0625	 20.33	 3.73438
15.125	 20.3509	 3.71875
15.1875	 20.3719	 3.70312
15.25	 20.3929	 3.6875
15.3125	 20.414	 3.67188
15.375	 20.4353	 3.65625
15.4375	 20.4566	 3.64062
15.5	 20.4779	 3.625
15.5625	 20.4994	 3.60938
15.625	 20.5209	 3.59375
15.6875	 20.5426	 3.57812
15.75	 20.5643	 3.5625
15.8125	 20.5861	 3.54688
15.875	 20.608	 3.53125
15.9375	 20.63	 3.51562
16	 20.6521	 3.5
16.0625	 20.597	 3.54688
16.125	 20.5424	 3.59375
16.1875	 20.4885	 3.64062
16.25	 20.4351	 3.6875
16.3125	 20.3823	 3.73438
16.375	 20.3299	 3.78125
16.4375	 20.2781	 3.82812
16.5	 20.2267	 3.875
16.5625	 20.1758	 3.92188
16.625	 20.1253	 3.96875
16.6875	 20.0753	 4.01562
16.75	 20.0256	 4.0625
16.8125	 19.9762	 4.10938
16.875	 19.9273	 4.15625
16.9375	 19.8786	 4.20312
17	 19.8303	 4.25
17.0625	 19.7823	 4.29688
17.125	 19.7346	 4.34375
17.1875	 19.6872	 4.39062
17.25	 19.6401	 4.4375
17.3125	 19.5932	 4.48438
17.375	 19.5465	 4.53125
17.4375	 19.5001	 4.57812
17.5	 19.454	 4.625
17.5625	 19.408	 4.67188
17.625	 19.3623	 4.71875
17.6875	 19.3167	 4.76562
17.75	 19.2714	 4.8125
17.8125	 19.2262	 4.85938
17.875	 19.1812	 4.90625
17.9375	 19.1363	 4.95312
18	 19.0917	 5
18.0625	 19.0782	 5.01562
18.125	 19.0647	 5.03125
18.1875	 19.0512	 5.04688
18.25	 19.0377	 5.0625
18.3125	 19.0243	 5.07812
18.375	 19.0108	 5.09375
18.4375	 18.9973	 5.10938
18.5	 18.9839	 5.125
18.5625	 18.9705	 5.14062
18.625	 18.9571	 5.15625
18.6875	 18.9436	 5.17188
18.75	 18.9302	 5.1875
18.8125	 18.9168	 5.20312
18.875	 18.9034	 5.21875
18.9375	 18.8901	 5.23438
19	 18.8767	 5.25
19.0625	 18.8633	 5.26562
19.125	 18.8499	 5.28125
19.1875	 18.8366	 5.29688
19.25	 18.8232	 5.3125
19.3125	 18.8099	 5.32812
19.375	 18.7965	 5.34375
19.4375	 18.7832	 5.35938
19.5	 18.7699	 5.375
19.5625	 18.7566	 5.39062
19.625	 18.7432	 5.40625
19.6875	 18.7299	 5.42188
19.75	 18.7166	 5.4375
19.8125	 18.7033	 5.45312
19.875	 18.69	 5.46875
19.9375	 18.6767	 5.48438
20	 18.6634	 5.5
20.0625	 18.6501	 5.51562
20.125	 18.6368	 5.53125
20.1875	 18.6236	 5.54688
20.25	 18.6103	 5.5625
20.3125	 18.597	 5.57812
20.375	 18.5837	 5.59375
20.4375	 18.5705	 5.60938
20.5	 18.5572	 5.625
20.5625	 18.5439	 5.64062
20.625	 18.5307	 5.65625
20.6875	 18.5174	 5.67188
20.75	 18.5042	 5.6875
20.8125	 18.4909	 5.70312
20.875	 18.4777	 5.71875
20.9375	 18.4644	 5.73438
21	 18.4512	 5.75
21.0625	 18.4379	 5.76562
21.125	 18.4247	 5.78125
21.1875	 18.4114	 5.79688
21.25	 18.3982	 5.8125
21.3125	 18.385	 5.82812
